1	A	0	<sos>	None	None	None	None	None	None	None
2	C	1	A	None	None	None	None	None	None	None
3	=	2	C	None	None	None	None	None	None	None
4	\sqrt	3	=	None	None	None	None	None	None	None
5	struct	4	\sqrt	None	None	None	None	None	inside	right
6	2	5	inside	None	None	None	None	None	None	None
7	struct	6	2	None	None	None	sup	None	None	right
8	2	7	sup	None	None	None	None	None	None	None
9	<eos>	8	2	None	None	None	None	None	None	None
10	+	7	right	None	None	None	None	None	None	None
11	2	10	+	None	None	None	None	None	None	None
12	struct	11	2	None	None	None	sup	None	None	None
13	2	12	sup	None	None	None	None	None	None	None
14	<eos>	13	2	None	None	None	None	None	None	None
15	=	5	right	None	None	None	None	None	None	None
16	2	15	=	None	None	None	None	None	None	None
17	\sqrt	16	2	None	None	None	None	None	None	None
18	struct	17	\sqrt	None	None	None	None	None	inside	None
19	2	18	inside	None	None	None	None	None	None	None
20	<eos>	19	2	None	None	None	None	None	None	None
