1	\textcircled	0	<sos>	None	None	None	None	None	None	None
2	1	1	\textcircled	None	None	None	None	None	None	None
3	<eos>	2	1	None	None	None	None	None	None	None
4	\frac	1	right	None	None	None	None	None	None	None
5	struct	4	\frac	above	below	None	None	None	None	right
6	1	5	above	None	None	None	None	None	None	None
7	<eos>	6	1	None	None	None	None	None	None	None
8	4	5	below	None	None	None	None	None	None	None
9	<eos>	8	4	None	None	None	None	None	None	None
10	=	5	right	None	None	None	None	None	None	None
11	\frac	10	=	None	None	None	None	None	None	None
12	struct	11	\frac	above	below	None	None	None	None	right
13	1	12	above	None	None	None	None	None	None	None
14	\times	13	1	None	None	None	None	None	None	None
15	2	14	\times	None	None	None	None	None	None	None
16	<eos>	15	2	None	None	None	None	None	None	None
17	4	12	below	None	None	None	None	None	None	None
18	\times	17	4	None	None	None	None	None	None	None
19	2	18	\times	None	None	None	None	None	None	None
20	<eos>	19	2	None	None	None	None	None	None	None
21	=	12	right	None	None	None	None	None	None	None
22	\frac	21	=	None	None	None	None	None	None	None
23	struct	22	\frac	above	below	None	None	None	None	None
24	2	23	above	None	None	None	None	None	None	None
25	<eos>	24	2	None	None	None	None	None	None	None
26	8	23	below	None	None	None	None	None	None	None
27	<eos>	26	8	None	None	None	None	None	None	None
