1	z	0	<sos>	None	None	None	None	None	None	None
2	n	1	z	None	None	None	None	None	None	None
3	+	2	n	None	None	None	None	None	None	None
4	H	3	+	None	None	None	None	None	None	None
5	struct	4	H	None	None	sub	None	None	None	right
6	2	5	sub	None	None	None	None	None	None	None
7	<eos>	6	2	None	None	None	None	None	None	None
8	S	5	right	None	None	None	None	None	None	None
9	O	8	S	None	None	None	None	None	None	None
10	struct	9	O	None	None	sub	None	None	None	right
11	4	10	sub	None	None	None	None	None	None	None
12	<eos>	11	4	None	None	None	None	None	None	None
13	=	10	right	None	None	None	None	None	None	None
14	Z	13	=	None	None	None	None	None	None	None
15	n	14	Z	None	None	None	None	None	None	None
16	S	15	n	None	None	None	None	None	None	None
17	O	16	S	None	None	None	None	None	None	None
18	struct	17	O	None	None	sub	None	None	None	right
19	4	18	sub	None	None	None	None	None	None	None
20	<eos>	19	4	None	None	None	None	None	None	None
21	+	18	right	None	None	None	None	None	None	None
22	H	21	+	None	None	None	None	None	None	None
23	struct	22	H	None	None	sub	None	None	None	right
24	2	23	sub	None	None	None	None	None	None	None
25	<eos>	24	2	None	None	None	None	None	None	None
26	\uparrow	23	right	None	None	None	None	None	None	None
27	<eos>	26	\uparrow	None	None	None	None	None	None	None
