1	S	0	<sos>	None	None	None	None	None	None	None
2	\frac	1	S	None	None	None	None	None	None	None
3	struct	2	\frac	above	below	None	None	None	None	right
4	x	3	above	None	None	None	None	None	None	None
5	<eos>	4	x	None	None	None	None	None	None	None
6	2	3	below	None	None	None	None	None	None	None
7	<eos>	6	2	None	None	None	None	None	None	None
8	\vert	3	right	None	None	None	None	None	None	None
9	\eta	8	\vert	None	None	None	None	None	None	None
10	s	9	\eta	None	None	None	None	None	None	None
11	u	10	s	None	None	None	None	None	None	None
12	r	11	u	None	None	None	None	None	None	None
13	e	12	r	None	None	None	None	None	None	None
14	+	13	e	None	None	None	None	None	None	None
15	k	14	+	None	None	None	None	None	None	None
16	\pi	15	k	None	None	None	None	None	None	None
17	+	16	\pi	None	None	None	None	None	None	None
18	\frac	17	+	None	None	None	None	None	None	None
19	struct	18	\frac	above	below	None	None	None	None	right
20	\pi	19	above	None	None	None	None	None	None	None
21	<eos>	20	\pi	None	None	None	None	None	None	None
22	2	19	below	None	None	None	None	None	None	None
23	<eos>	22	2	None	None	None	None	None	None	None
24	<	19	right	None	None	None	None	None	None	None
25	\frac	24	<	None	None	None	None	None	None	None
26	struct	25	\frac	above	below	None	None	None	None	right
27	\alpha	26	above	None	None	None	None	None	None	None
28	<eos>	27	\alpha	None	None	None	None	None	None	None
29	2	26	below	None	None	None	None	None	None	None
30	<eos>	29	2	None	None	None	None	None	None	None
31	<	26	right	None	None	None	None	None	None	None
32	k	31	<	None	None	None	None	None	None	None
33	\pi	32	k	None	None	None	None	None	None	None
34	+	33	\pi	None	None	None	None	None	None	None
35	\frac	34	+	None	None	None	None	None	None	None
36	struct	35	\frac	above	below	None	None	None	None	right
37	\pi	36	above	None	None	None	None	None	None	None
38	<eos>	37	\pi	None	None	None	None	None	None	None
39	4	36	below	None	None	None	None	None	None	None
40	<eos>	39	4	None	None	None	None	None	None	None
41	3	36	right	None	None	None	None	None	None	None
42	<eos>	41	3	None	None	None	None	None	None	None
