1	>	0	<sos>	None	None	None	None	None	None	None
2	\frac	1	>	None	None	None	None	None	None	None
3	struct	2	\frac	above	below	None	None	None	None	right
4	2	3	above	None	None	None	None	None	None	None
5	4	4	2	None	None	None	None	None	None	None
6	<eos>	5	4	None	None	None	None	None	None	None
7	3	3	below	None	None	None	None	None	None	None
8	6	7	3	None	None	None	None	None	None	None
9	<eos>	8	6	None	None	None	None	None	None	None
10	=	3	right	None	None	None	None	None	None	None
11	\frac	10	=	None	None	None	None	None	None	None
12	struct	11	\frac	above	below	None	None	None	None	right
13	(	12	above	None	None	None	None	None	None	None
14	6	13	(	None	None	None	None	None	None	None
15	)	14	6	None	None	None	None	None	None	None
16	<eos>	15	)	None	None	None	None	None	None	None
17	9	12	below	None	None	None	None	None	None	None
18	<eos>	17	9	None	None	None	None	None	None	None
19	=	12	right	None	None	None	None	None	None	None
20	\frac	19	=	None	None	None	None	None	None	None
21	struct	20	\frac	above	below	None	None	None	None	None
22	2	21	above	None	None	None	None	None	None	None
23	<eos>	22	2	None	None	None	None	None	None	None
24	(	21	below	None	None	None	None	None	None	None
25	3	24	(	None	None	None	None	None	None	None
26	)	25	3	None	None	None	None	None	None	None
27	<eos>	26	)	None	None	None	None	None	None	None
