1	(	0	<sos>	None	None	None	None	None	None	None
2	\frac	1	(	None	None	None	None	None	None	None
3	struct	2	\frac	above	below	None	None	None	None	right
4	x	3	above	None	None	None	None	None	None	None
5	<eos>	4	x	None	None	None	None	None	None	None
6	x	3	below	None	None	None	None	None	None	None
7	-	6	x	None	None	None	None	None	None	None
8	1	7	-	None	None	None	None	None	None	None
9	<eos>	8	1	None	None	None	None	None	None	None
10	-	3	right	None	None	None	None	None	None	None
11	\frac	10	-	None	None	None	None	None	None	None
12	struct	11	\frac	above	below	None	None	None	None	None
13	x	12	above	None	None	None	None	None	None	None
14	-	13	x	None	None	None	None	None	None	None
15	1	14	-	None	None	None	None	None	None	None
16	<eos>	15	1	None	None	None	None	None	None	None
17	x	12	below	None	None	None	None	None	None	None
18	-	17	x	None	None	None	None	None	None	None
19	1	18	-	None	None	None	None	None	None	None
20	<eos>	19	1	None	None	None	None	None	None	None
