1	v	0	<sos>	None	None	None	None	None	None	None
2	=	1	v	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	\lambda	4	above	None	None	None	None	None	None	None
6	<eos>	5	\lambda	None	None	None	None	None	None	None
7	T	4	below	None	None	None	None	None	None	None
8	<eos>	7	T	None	None	None	None	None	None	None
9	=	4	right	None	None	None	None	None	None	None
10	\frac	9	=	None	None	None	None	None	None	None
11	struct	10	\frac	above	below	None	None	None	None	right
12	\frac	11	above	None	None	None	None	None	None	None
13	struct	12	\frac	above	below	None	None	None	None	right
14	8	13	above	None	None	None	None	None	None	None
15	<eos>	14	8	None	None	None	None	None	None	None
16	3	13	below	None	None	None	None	None	None	None
17	<eos>	16	3	None	None	None	None	None	None	None
18	m	13	right	None	None	None	None	None	None	None
19	<eos>	18	m	None	None	None	None	None	None	None
20	2	11	below	None	None	None	None	None	None	None
21	<eos>	20	2	None	None	None	None	None	None	None
22	=	11	right	None	None	None	None	None	None	None
23	\frac	22	=	None	None	None	None	None	None	None
24	struct	23	\frac	above	below	None	None	None	None	right
25	4	24	above	None	None	None	None	None	None	None
26	<eos>	25	4	None	None	None	None	None	None	None
27	3	24	below	None	None	None	None	None	None	None
28	<eos>	27	3	None	None	None	None	None	None	None
29	m	24	right	None	None	None	None	None	None	None
30	/	29	m	None	None	None	None	None	None	None
31	s	30	/	None	None	None	None	None	None	None
32	<eos>	31	s	None	None	None	None	None	None	None
