1	n	0	<sos>	None	None	None	None	None	None	None
2	C	1	n	None	None	None	None	None	None	None
3	a	2	C	None	None	None	None	None	None	None
4	C	3	a	None	None	None	None	None	None	None
5	l	4	C	None	None	None	None	None	None	None
6	struct	5	l	None	None	sub	None	None	None	right
7	2	6	sub	None	None	None	None	None	None	None
8	<eos>	7	2	None	None	None	None	None	None	None
9	=	6	right	None	None	None	None	None	None	None
10	\frac	9	=	None	None	None	None	None	None	None
11	struct	10	\frac	above	below	None	None	None	None	right
12	m	11	above	None	None	None	None	None	None	None
13	<eos>	12	m	None	None	None	None	None	None	None
14	M	11	below	None	None	None	None	None	None	None
15	<eos>	14	M	None	None	None	None	None	None	None
16	=	11	right	None	None	None	None	None	None	None
17	\frac	16	=	None	None	None	None	None	None	None
18	struct	17	\frac	above	below	None	None	None	None	right
19	1	18	above	None	None	None	None	None	None	None
20	1	19	1	None	None	None	None	None	None	None
21	.	20	1	None	None	None	None	None	None	None
22	1	21	.	None	None	None	None	None	None	None
23	g	22	1	None	None	None	None	None	None	None
24	<eos>	23	g	None	None	None	None	None	None	None
25	1	18	below	None	None	None	None	None	None	None
26	1	25	1	None	None	None	None	None	None	None
27	1	26	1	None	None	None	None	None	None	None
28	g	27	1	None	None	None	None	None	None	None
29	/	28	g	None	None	None	None	None	None	None
30	m	29	/	None	None	None	None	None	None	None
31	o	30	m	None	None	None	None	None	None	None
32	l	31	o	None	None	None	None	None	None	None
33	<eos>	32	l	None	None	None	None	None	None	None
34	=	18	right	None	None	None	None	None	None	None
35	0	34	=	None	None	None	None	None	None	None
36	.	35	0	None	None	None	None	None	None	None
37	1	36	.	None	None	None	None	None	None	None
38	m	37	1	None	None	None	None	None	None	None
39	o	38	m	None	None	None	None	None	None	None
40	l	39	o	None	None	None	None	None	None	None
41	<eos>	40	l	None	None	None	None	None	None	None
