1	q	0	<sos>	None	None	None	None	None	None	None
2	=	1	q	None	None	None	None	None	None	None
3	\frac	2	=	None	None	None	None	None	None	None
4	struct	3	\frac	above	below	None	None	None	None	right
5	b	4	above	None	None	None	None	None	None	None
6	struct	5	b	None	None	sub	None	None	None	right
7	1	6	sub	None	None	None	None	None	None	None
8	<eos>	7	1	None	None	None	None	None	None	None
9	-	6	right	None	None	None	None	None	None	None
10	b	9	-	None	None	None	None	None	None	None
11	struct	10	b	None	None	sub	None	None	None	None
12	2	11	sub	None	None	None	None	None	None	None
13	<eos>	12	2	None	None	None	None	None	None	None
14	b	4	below	None	None	None	None	None	None	None
15	struct	14	b	None	None	sub	None	None	None	right
16	2	15	sub	None	None	None	None	None	None	None
17	<eos>	16	2	None	None	None	None	None	None	None
18	-	15	right	None	None	None	None	None	None	None
19	b	18	-	None	None	None	None	None	None	None
20	struct	19	b	None	None	sub	None	None	None	None
21	1	20	sub	None	None	None	None	None	None	None
22	<eos>	21	1	None	None	None	None	None	None	None
23	=	4	right	None	None	None	None	None	None	None
24	\frac	23	=	None	None	None	None	None	None	None
25	struct	24	\frac	above	below	None	None	None	None	right
26	7	25	above	None	None	None	None	None	None	None
27	-	26	7	None	None	None	None	None	None	None
28	4	27	-	None	None	None	None	None	None	None
29	<eos>	28	4	None	None	None	None	None	None	None
30	4	25	below	None	None	None	None	None	None	None
31	-	30	4	None	None	None	None	None	None	None
32	1	31	-	None	None	None	None	None	None	None
33	<eos>	32	1	None	None	None	None	None	None	None
34	=	25	right	None	None	None	None	None	None	None
35	1	34	=	None	None	None	None	None	None	None
36	<eos>	35	1	None	None	None	None	None	None	None
