1	\therefore	0	<sos>	None	None	None	None	None	None	None
2	1	1	\therefore	None	None	None	None	None	None	None
3	8	2	1	None	None	None	None	None	None	None
4	0	3	8	None	None	None	None	None	None	None
5	struct	4	0	None	None	None	sup	None	None	right
6	\circ	5	sup	None	None	None	None	None	None	None
7	<eos>	6	\circ	None	None	None	None	None	None	None
8	-	5	right	None	None	None	None	None	None	None
9	\angle	8	-	None	None	None	None	None	None	None
10	C	9	\angle	None	None	None	None	None	None	None
11	Q	10	C	None	None	None	None	None	None	None
12	P	11	Q	None	None	None	None	None	None	None
13	-	12	P	None	None	None	None	None	None	None
14	\angle	13	-	None	None	None	None	None	None	None
15	C	14	\angle	None	None	None	None	None	None	None
16	P	15	C	None	None	None	None	None	None	None
17	Q	16	P	None	None	None	None	None	None	None
18	=	17	Q	None	None	None	None	None	None	None
19	1	18	=	None	None	None	None	None	None	None
20	8	19	1	None	None	None	None	None	None	None
21	0	20	8	None	None	None	None	None	None	None
22	struct	21	0	None	None	None	sup	None	None	right
23	\circ	22	sup	None	None	None	None	None	None	None
24	<eos>	23	\circ	None	None	None	None	None	None	None
25	-	22	right	None	None	None	None	None	None	None
26	\angle	25	-	None	None	None	None	None	None	None
27	A	26	\angle	None	None	None	None	None	None	None
28	Q	27	A	None	None	None	None	None	None	None
29	B	28	Q	None	None	None	None	None	None	None
30	-	29	B	None	None	None	None	None	None	None
31	\angle	30	-	None	None	None	None	None	None	None
32	B	31	\angle	None	None	None	None	None	None	None
33	<eos>	32	B	None	None	None	None	None	None	None
